variable,label,value_labels
KarmaBelief2,"When people experience good fortune, they have brought it upon themselves by pre","{""1"": ""Strongly disagree"", ""2"": ""Slightly disagree"", ""3"": ""Neutral"", ""4"": ""Slightly agree"", ""5"": ""Strongly agree""}"
KarmaBelief3,"In life, everyone eventually gets what they deserve based on their deeds.","{""1"": ""Strongly disagree"", ""2"": ""Slightly disagree"", ""3"": ""Neutral"", ""4"": ""Slightly agree"", ""5"": ""Strongly agree""}"
TimeSubmitKarmaBeliefOK,,{}
Authority1,Locus of Control: I have little control over the things that happen to me,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
Authority2,Locus of Control: There is really no way I can solve some of the problems I have,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
Authority3,Locus of Control: There is little I can do to change many of the important thing,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
Authority4,Locus of Control: I often feel helpless in dealing with the problems of life,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
Authority5,Locus of Control: Sometimes I feel that I'm being pushed around in life,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
Authority6,Locus of Control: What happens to me in the future mostly depends on me,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
Authority7,Locus of Control: I can do just about anything I really set my mind to do,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Slightly disagree"", ""4"": ""Neutral"", ""5"": ""Slightly agree"", ""6"": ""Agree"", ""7"": ""Strongly agree""}"
TimeSubmitLocuOfControlScaleOK,,{}
IUS1,Unforeseen events upset me greatly,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS2,It frustrates me not having all the information I need,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS3,One should always look ahead so as to avoid surprises,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS4,"A small, unforeseen event can spoil everything, even with the best of planning","{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS5,I always want to know what the future has in store for me,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS6,I can't stand being taken by surprise,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS7,I should be able to organize everything in advance,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS8,Uncertainty keeps me from living a full life,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS9,"When it's time to act, uncertainty paralyses me","{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS10,When I am uncertain I can't function very well,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS11,The smallest doubt can stop me from acting,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
IUS12,I must get away from all uncertain situations,"{""1"": ""Not at all characteristic of me"", ""2"": ""Slightly characteristic of me"", ""3"": ""Somewhat characteristic of me"", ""4"": ""Mostly characteristic of me"", ""5"": ""Entirely characteristic of me""}"
Endowment_beforeR1,,{}
Endowment_beforeR2,,{}
Endowment_beforeR3,,{}
Endowment_beforeR4,,{}
Endowment_beforeR5,,{}
Endowment_afterR1,,{}
Endowment_afterR2,,{}
Endowment_afterR3,,{}
Endowment_afterR4,,{}
Endowment_afterR5,,{}
StreakTreat_R2,,"{""1"": ""Not all previous predictions had been correct"", ""2"": ""All previous predictions had been correct"", ""3"": ""All previous predictions had been incorrect""}"
StreakTreat_R3,,"{""1"": ""Not all previous predictions had been correct"", ""2"": ""All previous predictions had been correct"", ""3"": ""All previous predictions had been incorrect""}"
StreakTreat_R4,,"{""1"": ""Not all previous predictions had been correct"", ""2"": ""All previous predictions had been correct"", ""3"": ""All previous predictions had been incorrect""}"
StreakTreat_R5,,"{""1"": ""Not all previous predictions had been correct"", ""2"": ""All previous predictions had been correct"", ""3"": ""All previous predictions had been incorrect""}"
switching_point,,{}
risk_score,,{}
treat,Treatments,"{""1"": ""Expert_NoInfo"", ""2"": ""Expert_FullInfo"", ""3"": ""Charity_NoInfo"", ""4"": ""Charity_FullInfo""}"
karma,Scores for factor 1,{}
authority,Scores for factor 1,{}
iu,Scores for factor 1,{}
Head1,,{}
Head2,,{}
Head3,,{}
Head4,,{}
Tail1,,{}
Tail2,,{}
Tail3,,{}
Tail4,,{}
madewrongbet1,,{}
madewrongbet2,,{}
madewrongbet3,,{}
madewrongbet4,,{}
madewrongbet5,,{}
fixedbetting,,{}
betsame1,,{}
betsame2,,{}
betsame3,,{}
betsame4,,{}
betsame5,,{}
gambler1,,{}
gambler2,,"{""0"": ""All previous outcomes had been mixed"", ""1"": ""A streak of heads until j-1"", ""2"": ""A streak of tails until j-1""}"
gambler3,,"{""0"": ""All previous outcomes had been mixed"", ""1"": ""A streak of heads until j-1"", ""2"": ""A streak of tails until j-1""}"
gambler4,,"{""0"": ""All previous outcomes had been mixed"", ""1"": ""A streak of heads until j-1"", ""2"": ""A streak of tails until j-1""}"
lgbetamount1,,{}
lgbetamount2,,{}
lgbetamount3,,{}
lgbetamount4,,{}
lgbetamount5,,{}
