Agent,InformationLevel,Pdc_Correct1,Pdc_Correct2,Pdc_Correct3,Pdc_Correct4,Pdc_Correct5,Pdt1,Pdt2,Pdt3,Pdt4,Pdt5,Coin1,Coin2,Coin3,Coin4,Coin5,Decision1,Decision2,Decision3,Decision4,Decision5,BetAmount1,BetAmount2,BetAmount3,BetAmount4,BetAmount5,Bet1,Bet2,Bet3,Bet4,Bet5,Session,statistics_score,WrongNum,BlankNum,ExchangeRate,TimeOKProbabilityTestQ1Q5OK,TimeOKProbabilityTestQ6Q10OK,Earning2,TimeClickToProCorrectAnswersOK,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Choice9,Choice10,TimeClickToProionInstructionOK,Gender,Year,Age,TimeSubmitDemographicsOK,UnderstandingLevel,TimeSubmitUnderstandingQnsOK,questionorder1,questionorder2,questionorder3,questionorder4,questionorder5,questionorder6,questionorder7,questionorder8,questionorder9,questionorder10,KarmaBelief1,KarmaBelief2,KarmaBelief3,TimeSubmitKarmaBeliefOK,Authority1,Authority2,Authority3,Authority4,Authority5,Authority6,Authority7,TimeSubmitLocuOfControlScaleOK,IUS1,IUS2,IUS3,IUS4,IUS5,IUS6,IUS7,IUS8,IUS9,IUS10,IUS11,IUS12,Endowment_beforeR1,Endowment_beforeR2,Endowment_beforeR3,Endowment_beforeR4,Endowment_beforeR5,Endowment_afterR1,Endowment_afterR2,Endowment_afterR3,Endowment_afterR4,Endowment_afterR5,StreakTreat_R2,StreakTreat_R3,StreakTreat_R4,StreakTreat_R5,switching_point,risk_score,treat,karma,authority,iu,Head1,Head2,Head3,Head4,Tail1,Tail2,Tail3,Tail4,madewrongbet1,madewrongbet2,madewrongbet3,madewrongbet4,madewrongbet5,fixedbetting,betsame1,betsame2,betsame3,betsame4,betsame5,gambler1,gambler2,gambler3,gambler4,lgbetamount1,lgbetamount2,lgbetamount3,lgbetamount4,lgbetamount5
1,2,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,40,50,65,40,89,0,0,0,0,0,3d,9,1,0,0.02,30,94,2.3999999999999999,-7,1,1,1,1,1,2,2,2,2,2,474,1,3,21,18,5,-29,4,9,5,1,3,8,2,12,6,7,2,2,3,-13,4,5,5,5,4,5,6,-18,3,3,3,4,3,3,3,4,4,4,3,4,300,250,200,135,175,250,200,135,175,264,3,1,1,1,6,2,2,-0.79805046319961548,0.82676297426223755,0.98074048757553101,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,3.6888794898986816,3.9120230674743652,4.1743874549865723,3.6888794898986816,4.4886364936828613
1,2,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,10,10,10,10,10,1,1,1,0,1,8b,6,3,1,0.02,117,131,0.90000000000000002,-5,1,1,1,1,1,1,1,2,2,2,477,2,2,21,16,5,-43,2,3,12,8,5,7,6,4,9,1,1,1,4,1,3,6,6,7,2,6,6,-11,5,5,4,5,4,4,4,1,2,1,4,2,300,310,300,290,280,310,300,290,280,270,3,3,3,1,8,2,2,-1.4185512065887451,0.95136892795562744,0.70542913675308228,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824
2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,10,10,10,20,30,0,0,1,0,0,5d,2,2,6,0.02,99999,0,0,99999,2,2,2,2,2,2,2,2,2,2,99999,2,1,19,99999,5,99999,6,1,12,7,5,4,3,2,8,9,3,3,3,99999,4,2,2,4,2,7,7,99999,2,3,4,2,4,2,3,2,2,2,2,2,300,280,280,270,240,280,280,270,240,210,3,3,3,1,1,-2,3,-0.082295022904872894,-0.62812232971191406,-0.49944555759429932,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.995732307434082,3.4011974334716797
1,2,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,12,12,10,10,10,0,0,0,0,0,2e,8,2,0,0.02,122,124,1.8,-55,1,1,1,1,1,1,1,1,1,1,479,2,1,19,24,4,-16,2,6,1,12,5,4,7,8,9,3,4,4,3,-3,3,5,2,6,6,6,7,-13,1,1,2,2,4,1,1,2,3,1,2,1,300,312,300,290,300,312,300,290,300,300,2,2,2,1,11,2,2,0.6334604024887085,0.51702207326889038,-1.2344369888305664,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2.4849066734313965,2.4849066734313965,2.3025851249694824,2.3025851249694824,2.3025851249694824
2,2,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,50,70,80,90,90,1,1,0,0,1,6b,8,2,0,0.02,68,132,1.8,-20,1,1,1,1,1,1,1,2,2,2,480,2,3,21,20,5,-31,5,3,12,6,8,9,1,7,4,2,2,3,2,-3,3,3,2,1,5,6,6,-15,3,2,2,1,2,1,4,2,2,2,3,1,300,350,420,500,410,350,420,500,410,320,3,1,1,1,8,2,4,-0.51050662994384766,-0.57776272296905518,-0.8178907036781311,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3.9120230674743652,4.2484951019287109,4.3820266723632812,4.499809741973877,4.499809741973877
1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,20,20,35,20,30,1,0,1,0,0,2b,4,1,5,0.02,0,117,0.90000000000000002,-5,1,1,1,1,1,2,2,2,2,2,478,3,1,20,5,5,-30,1,4,9,5,6,12,7,8,2,3,2,4,4,-10,3,6,3,5,2,6,5,-28,3,2,4,3,4,3,3,3,5,4,3,2,300,280,260,215,235,280,260,215,235,205,2,2,1,1,6,2,1,0.062801256775856018,0.2846686840057373,0.77405679225921631,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,2.995732307434082,2.995732307434082,3.5553481578826904,2.995732307434082,3.4011974334716797
2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,20,10,10,10,10,0,0,0,0,0,3e,7,3,0,0.02,8,170,1.2,0,1,1,1,1,1,1,1,1,2,2,479,1,4,25,22,4,4,1,12,9,3,5,2,7,6,4,8,4,4,3,-11,3,5,5,5,5,5,5,-12,4,5,4,4,4,5,5,2,4,4,4,2,300,280,290,300,290,280,290,300,290,280,3,3,3,1,9,2,3,0.6334604024887085,0.9281279444694519,1.5457327365875244,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2.995732307434082,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824
2,2,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,40,40,40,40,200,1,1,1,0,0,7c,8,2,0,0.02,107,39,1.8,-2,1,1,1,2,2,2,2,2,2,2,479,2,3,22,14,5,-16,8,2,9,6,5,4,1,3,12,7,4,4,3,-14,4,3,3,4,5,6,6,-26,2,2,2,2,2,2,3,2,4,4,2,4,300,260,300,340,380,260,300,340,380,580,2,2,2,1,4,0,4,0.6334604024887085,0.18787698447704315,0.01551844272762537,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,3.6888794898986816,3.6888794898986816,3.6888794898986816,3.6888794898986816,5.2983174324035645
1,2,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,10,20,20,40,20,0,1,1,1,0,6e,0,0,10,0.02,0,0,0,-94,1,1,1,1,1,1,2,2,2,2,479,2,2,22,21,2,12,12,6,9,4,5,1,3,8,7,2,3,3,3,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,300,300,320,340,380,300,320,340,380,400,2,2,2,2,7,2,2,-0.082295022904872894,0.68931019306182861,0.36903110146522522,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2.3025851249694824,2.995732307434082,2.995732307434082,3.6888794898986816,2.995732307434082
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,10,10,10,10,10,1,0,1,1,1,1c,7,3,0,0.02,20,100,1.2,-3,1,1,1,1,1,1,1,1,2,2,478,2,1,20,17,5,-76,1,2,3,12,8,6,5,7,4,9,4,4,4,-7,4,2,2,3,1,4,5,-20,3,3,3,2,3,2,1,2,2,2,2,1,300,310,300,310,320,310,300,310,320,310,3,1,1,1,9,2,1,0.72871506214141846,-0.45227614045143127,-0.7465062141418457,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824
1,2,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,60,90,90,180,180,1,1,1,1,1,7d,0,0,10,0.02,0,0,0,-8,1,1,1,1,2,2,2,2,2,2,462,2,6,22,1,4,-35,12,5,6,1,8,9,7,2,4,3,4,5,2,-30,2,1,2,1,6,7,6,-37,1,4,3,3,2,1,4,3,3,4,2,3,300,360,270,360,180,360,270,360,180,360,3,3,1,1,5,1,2,0.92100423574447632,-0.8840794563293457,0.027680361643433571,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,4.0943446159362793,4.499809741973877,4.499809741973877,5.1929569244384766,5.1929569244384766
2,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,30,40,40,60,75,1,0,0,0,1,4e,5,4,1,0.02,110,55,0.29999999999999999,-7,1,1,1,1,2,2,2,2,2,2,479,1,4,24,23,3,-1,1,6,9,8,2,3,7,4,12,5,1,1,1,1,5,2,1,4,2,7,5,-7,1,3,3,3,4,1,4,1,1,1,1,1,300,270,310,270,330,270,310,270,330,255,2,1,1,1,5,1,3,-1.704315185546875,-0.4627278745174408,-1.2595055103302002,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,3.4011974334716797,3.6888794898986816,3.6888794898986816,4.0943446159362793,4.3174881935119629
1,2,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,20,35,40,30,35,1,1,1,0,0,4c,3,2,5,0.02,7,0,0.29999999999999999,0,1,1,1,1,1,1,2,2,2,2,479,1,1,18,18,5,-26,3,2,8,5,4,6,1,12,9,7,4,4,2,-15,2,2,2,2,2,6,4,-20,2,3,3,2,2,2,3,2,2,3,3,3,300,320,355,395,365,320,355,395,365,330,3,1,1,1,7,2,2,0.53820574283599854,-0.82606685161590576,-0.27669566869735718,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,2.995732307434082,3.5553481578826904,3.6888794898986816,3.4011974334716797,3.5553481578826904
1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,25,50,50,75,149,1,1,1,1,1,6d,9,1,0,0.02,89,110,2.3999999999999999,-1,1,1,1,1,1,1,1,2,2,2,479,1,2,24,17,5,-122,12,4,3,7,5,6,1,8,9,2,4,4,2,-13,3,5,6,2,2,5,6,-36,3,4,4,5,4,4,4,2,3,3,2,2,300,275,225,275,200,275,225,275,200,349,2,1,1,1,8,2,1,0.53820574283599854,0.092007346451282501,0.62744063138961792,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,2,0,0,3.2188758850097656,3.9120230674743652,3.9120230674743652,4.3174881935119629,5.0039463043212891
2,2,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,50,50,100,150,50,1,1,0,0,0,1a,7,3,0,0.02,91,107,1.2,-13,1,1,1,1,2,2,2,2,2,2,479,1,1,18,21,5,-109,1,8,5,9,2,4,7,6,3,12,4,4,4,-18,5,3,2,3,6,7,5,-30,4,4,3,4,3,2,3,3,2,4,2,3,300,250,300,200,50,250,300,200,50,0,2,2,2,2,5,1,4,0.72871506214141846,0.12211700528860092,0.39585775136947632,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,3.9120230674743652,3.9120230674743652,4.6051702499389648,5.0106353759765625,3.9120230674743652
2,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10,10,10,10,20,1,1,1,1,1,6a,7,3,0,0.02,22,138,1.2,-2,1,1,1,1,1,1,1,1,1,1,479,1,4,25,18,5,-81,9,3,1,7,2,5,8,12,4,6,2,2,2,-4,2,3,1,2,5,6,6,-9,3,3,5,2,3,5,5,4,4,3,4,4,300,310,300,290,280,310,300,290,280,260,3,3,3,3,11,2,3,-0.89330512285232544,-0.66851931810379028,1.2309367656707764,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.995732307434082
2,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,100,10,10,10,10,0,1,1,0,1,7a,2,3,5,0.02,66,0,0,-2,1,1,1,1,1,1,2,2,2,2,479,2,2,19,26,3,-11,12,2,8,5,7,6,4,9,1,3,3,3,3,-9,2,2,2,2,5,5,5,-8,3,3,3,3,3,1,4,2,2,2,2,2,300,200,190,200,210,200,190,200,210,220,3,3,1,1,7,2,3,-0.082295022904872894,-0.44910120964050293,-0.4449286162853241,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,4.6051702499389648,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824
1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,50,50,100,80,180,1,1,1,1,0,3a,9,1,0,0.02,73,13,2.3999999999999999,-4,1,1,1,1,1,1,2,2,2,2,480,3,4,24,-1,4,-24,2,9,5,3,6,4,12,8,7,1,4,3,4,-9,6,6,6,6,6,2,2,-10,4,4,4,4,4,4,2,2,4,4,4,4,300,250,200,100,180,250,200,100,180,0,2,1,1,1,7,2,2,0.34591656923294067,2.3928215503692627,1.3387715816497803,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,2,2,0,3.9120230674743652,3.9120230674743652,4.6051702499389648,4.3820266723632812,5.1929569244384766
1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,20,30,50,100,150,0,1,1,1,0,7b,9,1,0,0.02,86,9,2.3999999999999999,-1,1,1,1,1,1,2,2,2,2,2,474,2,2,19,20,5,-50,6,2,5,9,3,1,7,12,4,8,4,5,4,-4,6,3,1,5,3,7,7,-12,3,5,3,2,5,1,2,4,4,3,3,2,300,320,350,400,500,320,350,400,500,640,2,2,2,2,6,2,1,1.111513614654541,-0.12831531465053558,0.47542676329612732,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2.995732307434082,3.4011974334716797,3.9120230674743652,4.6051702499389648,5.0106353759765625
1,2,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,40,25,25,25,30,1,0,1,1,0,4f,8,2,0,0.02,97,24,1.8,-7,1,1,1,1,1,2,2,2,2,2,479,2,1,18,16,5,-10,9,2,12,4,5,6,3,8,7,1,4,4,4,-14,2,3,3,5,6,6,4,-13,4,4,3,3,5,3,4,4,4,3,3,2,300,260,285,310,335,260,285,310,335,305,2,1,1,1,6,2,2,0.72871506214141846,0.43366113305091858,0.93850070238113403,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,2,0,0,3.6888794898986816,3.2188758850097656,3.2188758850097656,3.2188758850097656,3.4011974334716797
1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,30,50,50,100,200,0,0,0,0,0,5e,2,3,5,0.02,99999,99999,0,99999,1,1,1,1,2,2,2,2,2,2,99999,1,2,22,99999,5,99999,9,7,3,4,6,1,12,8,5,2,3,3,5,99999,2,2,2,2,2,7,7,99999,2,1,2,2,4,1,5,4,1,1,1,1,300,320,370,320,220,320,370,320,220,420,2,1,1,1,5,1,1,0.10821433365345001,-1.2023013830184937,-1.1871407032012939,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,2,0,0,3.4011974334716797,3.9120230674743652,3.9120230674743652,4.6051702499389648,5.2983174324035645
1,2,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,10,20,10,10,10,0,0,1,0,0,8d,10,0,0,0.02,6,37,3,0,1,1,1,1,1,1,1,2,2,2,479,1,1,19,8,4,-52,12,9,3,2,1,8,6,5,7,4,1,1,3,-27,2,2,2,2,2,7,7,-31,3,3,1,1,1,1,1,1,2,3,3,1,300,280,300,310,300,280,300,310,300,290,3,3,1,1,8,2,2,-1.5138058662414551,-1.2023013830184937,-0.97052979469299316,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2.3025851249694824,2.995732307434082,2.3025851249694824,2.3025851249694824,2.3025851249694824
1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,50,100,50,100,50,1,1,1,1,1,3c,10,0,0,0.02,40,26,3,-1,1,1,1,1,1,2,2,2,2,2,479,2,1,19,14,5,-85,8,12,7,5,9,6,2,4,3,1,4,4,5,-15,3,2,2,1,2,5,6,-34,4,5,2,2,1,1,1,1,1,1,1,1,300,350,250,300,400,350,250,300,400,350,3,3,1,1,6,2,1,0.82396978139877319,-0.97052013874053955,-1.2875694036483765,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,3.9120230674743652,4.6051702499389648,3.9120230674743652,4.6051702499389648,3.9120230674743652
1,2,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,30,30,50,30,30,1,1,1,0,1,4b,9,1,0,0.02,43,164,2.3999999999999999,-1,1,1,1,1,1,1,2,2,2,2,479,1,4,21,6,5,-26,4,1,2,7,5,6,12,8,3,9,1,1,1,2,2,3,3,5,4,6,7,-6,1,4,3,2,4,4,5,1,1,1,1,2,300,330,360,410,440,330,360,410,440,470,3,1,1,1,7,2,2,-1.704315185546875,-0.099873475730419159,-0.76220434904098511,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3.4011974334716797,3.4011974334716797,3.9120230674743652,3.4011974334716797,3.4011974334716797
